AGV_Id,t1,t2,t3,t4
agv2,1736950147.868238,1736950147.8702416,1736950147.8702416,1736950147.8717034
agv2,1736950157.1683073,1736950157.1713057,1736950157.1713057,1736950157.1713057
agv2,1736950174.7037907,1736950174.7065551,1736950174.7065551,1736950174.7070866
agv2,1736950191.870778,1736950191.8728895,1736950191.8728895,1736950191.8728895
agv2,1736950198.003976,1736950198.0065138,1736950198.0065138,1736950198.0070348
agv2,1736950205.1858907,1736950205.1883025,1736950205.1883025,1736950205.1891856
agv2,1736950220.6129496,1736950220.6219833,1736950220.6219833,1736950220.6239781
agv2,1736950234.8945847,1736950234.896582,1736950234.896582,1736950234.897584
agv2,1736950252.4202416,1736950252.4231672,1736950252.4231672,1736950252.4234786
agv2,1736950261.6794863,1736950261.6871707,1736950261.6871707,1736950261.6897635
agv2,1736950266.8060517,1736950266.8103065,1736950266.8103065,1736950266.8111265
agv2,1736950274.0267205,1736950274.0294757,1736950274.0294757,1736950274.0300076
agv2,1736950291.1815903,1736950291.1837323,1736950291.1837323,1736950291.1843054
agv2,1736950310.3370707,1736950310.356127,1736950310.356127,1736950310.3576407
agv2,1736950317.2531703,1736950317.257171,1736950317.257171,1736950317.2581706
agv2,1736950334.7620475,1736950334.7660475,1736950334.7660475,1736950334.7660475
agv2,1736950341.940793,1736950341.9443865,1736950341.94491,1736950341.9453518
agv2,1736950351.2564254,1736950351.2594259,1736950351.2594259,1736950351.260423
agv2,1736950358.4759376,1736950358.482458,1736950358.482458,1736950358.4834611
agv2,1736950367.664111,1736950367.6671095,1736950367.6671095,1736950367.6676319
agv2,1736950373.811271,1736950373.8142734,1736950373.8142734,1736950373.8152733
agv2,1736950385.5880663,1736950385.5950289,1736950385.5950289,1736950385.5990276
agv2,1736950392.8876996,1736950392.8917503,1736950392.8917503,1736950392.8928578
